,ID,Name,RA,DEC,Obj. Type,Repeater of Primary Burst,DM,DM-Err,DM-Units,Gal. DM Limit,Gal. DM Model,Barycentric Datetime,Redshift,Host Name,Host Redshift,Reporting Group/s,Discovery Data Source/s,Classifying Group/s,Associated Group/s,Disc. Internal Name,Disc. Instrument/s,Class. Instrument/s,TNS AT,Public,End Prop. Period,Discovery Mag/Flux,Discovery Filter,Discovery_time_inff,time_delay,Discovery Date (UT),Sender,Remarks,Discovery Bibcode,Classification Bibcodes,Ext. catalog/s
16,80240,FRB 20201124A,05:07:57.600,+26:11:24.00,FRB,20201124A,410.83,3.23,pc/cc,140.58,NE2001,,,,,CHIMEFRB,CHIMEFRB,,CHIMEFRB,chimefrb_144650722,,,1,1,2021-03-31,,,343903834.2394954,-10.645504586341325,2020-11-24 08:50:41.885,CHIME_FRB_bot,,2021TNSFR.990....1C,,
17,69758,FRB 20200917A,20:57:31.200,+75:45:36.00,FRB,,883.15,3.23,pc/cc,74.03,NE2001,,,,,CHIMEFRB,CHIMEFRB,,CHIMEFRB,chimefrb_135259857,,,1,1,2021-10-23,,,338014995.81365037,-22.88434967122007,2020-09-17 05:03:35.698,CHIME_FRB_bot,,2021TNSFR3632....1C,,
18,67962,FRB 20200718A,09:56:24.000,+68:47:24.00,FRB,20200120E,88.96,1.62,pc/cc,41.62,NE2001,,,,,CHIMEFRB,CHIMEFRB,,CHIMEFRB,chimefrb_101903385,,,1,1,2021-04-23,,,332806352.5618517,-2.3051483289947767,2020-07-18 22:12:31.867,CHIME_FRB_bot,,2021TNSFR1346....1C,,
19,56446,FRB 20200324A,01:39:04.800,+65:42:36.00,FRB,20180916B,346.14,3.23,pc/cc,104.32,NE2001,,,,,CHIMEFRB,CHIMEFRB,,CHIMEFRB,78294947,,,1,1,2020-03-27,,,322781747.7497549,-8.969245083163806,2020-03-24 21:35:53.719,CHIME_FRB_bot,,2020TNSFR.892....1Z,,
20,56445,FRB 20200314A,18:54:26.400,+46:58:12.00,FRB,20190208A,575.83,6.47,pc/cc,71.8,NE2001,,,,,CHIMEFRB,CHIMEFRB,,CHIMEFRB,77049697,,,1,1,2020-03-27,,,321895349.35298425,-14.921015763096477,2020-03-14 15:22:41.274,CHIME_FRB_bot,,2020TNSFR.892....1Z,,
21,56444,FRB 20200307A,08:09:28.800,+46:16:12.00,FRB,20190907A,308.94,1.62,pc/cc,53.34,NE2001,,,,,CHIMEFRB,CHIMEFRB,,CHIMEFRB,75987838,,,1,1,2020-03-27,,,321253665.01768833,-8.005311654222645,2020-03-07 05:07:50.023,CHIME_FRB_bot,,2020TNSFR.892....1Z,,
22,56443,FRB 20200302A,04:20:40.800,+73:37:48.00,FRB,20180814A,194.1,12.94,pc/cc,104.08,NE2001,,,,,CHIMEFRB,CHIMEFRB,,CHIMEFRB,75187874,,,1,1,2020-03-27,,,320809934.41744417,-5.029555875201059,2020-03-02 01:52:16.447,CHIME_FRB_bot,,2020TNSFR.892....1Z,,
23,56442,FRB 20200224A,03:54:38.400,+73:37:48.00,FRB,20180814A,187.63,6.47,pc/cc,93.66,NE2001,,,,,CHIMEFRB,CHIMEFRB,,CHIMEFRB,74343857,,,1,1,2020-03-27,,,320204872.470096,-4.861904012694358,2020-02-24 01:47:54.332,CHIME_FRB_bot,,2020TNSFR.892....1Z,,
24,56441,FRB 20200221A,02:15:02.400,+65:43:48.00,FRB,20180916B,342.91,6.47,pc/cc,190.95,NE2001,,,,,CHIMEFRB,CHIMEFRB,,CHIMEFRB,73909400,,,1,1,2020-03-27,,,319939782.7294513,-8.885548712855204,2020-02-21 00:09:48.615,CHIME_FRB_bot,,2020TNSFR.892....1Z,,
25,56440,FRB 20200220A,01:59:24.000,+65:43:12.00,FRB,20180916B,352.61,3.23,pc/cc,198.04,NE2001,,,,,CHIMEFRB,CHIMEFRB,,CHIMEFRB,73726599,,,1,1,2020-03-27,,,319853403.776103,-9.13689694567051,2020-02-20 00:10:09.913,CHIME_FRB_bot,,2020TNSFR.892....1Z,,
